Año,Mes,Población de España,Total Censo Electoral,Votantes 14:00(total),Votantes 14:00(porcentual),Votantes 18:00(total),Votantes 18:00(porcentual),Votantes 20:00(total),Votantes 20:00(porcentual),Votantes finales(total),Votantes finales(porcentual),Abstenciones(total),Abstenciones(porcentual),¿Quién formó gobierno?
1979,Marzo,37757534,26836490,9665733,36.02%,15250686,56.83%,,,18259192,68.04%,8577298,31.96%,Centro
1982,Octubre,37520072,26846940,10671403,39.75%,16861705,62.81%,,,21469274,79.97%,5377666,20.03%,Izquierda
1986,Junio,38467850,29117613,11802482,40.9%,16373518,56.73%,20471958,70.93%,20524658,70.49%,8592755,29.51%,Izquierda
1989,Octubre,38476094,29604055,10532043,35.78%,16543809,56.2%,20586503,69.93%,20646365,69.74%,8957690,30.26%,Izquierda
1993,Junio,38869700,31030511,12820116,41.83%,18869068,61.57%,23581698,76.94%,23718816,76.44%,7311695,23.56%,Izquierda
1996,Marzo,40231253,32531833,12835483,40.1%,20307720,63.45%,24990315,78.08%,25172058,77.38%,7359775,22.62%,Derecha
2000,Marzo,39852651,33969640,12060741,36.5%,18318806,55.45%,23125767,70%,23339490,68.71%,10630150,31.29%,Derecha
2004,Marzo,42717064,34571831,13723532,41.02%,21085915,63.02%,25850751,77.26%,26155436,75.66%,8416395,24.34%,Izquierda
2008,Marzo,45200737,35073179,13702080,40.46%,20642106,60.95%,25517871,75.35%,25896338,73.85%,9172740,26.15%,Izquierda
2011,Noviembre,47021031,35779491,12990129,37.88%,19772970,57.65%,24593080,71.71%,24666441,68.94%,11113050,31.06%,Derecha
2015,Diciembre,46776797,36511848,12815494,37.01%,20215657,58.37%,25349632,73.2%,25438532,69.67%,11073316,30.33%,No se formó gobierno(Ganó PP)
2016,Junio,46624382,36520913,12755388,36.87%,17715754,51.21%,24157982,69.83%,24157982,66.15%,12241654,33.52%,Derecha
2019,Abril,46722980,36898883,14437177,40.48%,21137842,60.74%,26359783,75.75%,26478140,71.76%,10420743,28.24%,No se formó gobierno(Ganó PSOE)
2019,Noviembre,46722980,37001154,13222643,37.92%,19823843,56.85%,24361807,69.86%,24507715,66.23%,12493664,33.77%,Izquierda
2023,Julio,47475420,37469458,14226892,40.48%,18671607,53.13%,24744016,70.41%,24952447,66.59%,12517011,33.41%,Izquierda